Time,Ask,Bid,AskVolume,BidVolume
10.02.2014 01:50:10.580,6.03040,6.02820,0.06,0.09
10.02.2014 01:50:14.585,6.03030,6.02830,0.10,0.10
10.02.2014 01:50:20.592,6.03020,6.02800,0.11,0.10
10.02.2014 01:50:36.711,6.03040,6.02830,0.08,0.06
10.02.2014 01:50:56.635,6.03030,6.02840,0.09,0.09
10.02.2014 01:50:58.638,6.03040,6.02830,0.06,0.10
10.02.2014 01:51:12.655,6.03100,6.02800,0.10,0.11
10.02.2014 01:51:28.574,6.03030,6.02830,0.08,0.06
10.02.2014 01:51:50.601,6.03020,6.02840,0.08,0.11
10.02.2014 01:53:08.597,6.03030,6.02830,0.08,0.09
10.02.2014 01:53:10.600,6.03030,6.02810,0.06,0.06
10.02.2014 01:53:28.622,6.03060,6.02840,0.06,0.10
10.02.2014 01:53:30.624,6.03070,6.02850,0.08,0.09
10.02.2014 01:53:32.627,6.03060,6.02850,0.06,0.10
10.02.2014 01:54:32.601,6.03060,6.02840,0.06,0.09
10.02.2014 01:54:40.611,6.03050,6.02820,0.11,0.06
10.02.2014 01:55:44.589,6.03050,6.02870,0.11,0.06
10.02.2014 01:57:10.594,6.03110,6.02890,0.11,0.11
10.02.2014 01:57:26.614,6.03080,6.02880,0.09,0.11
10.02.2014 01:57:28.617,6.03150,6.02910,0.09,0.09
10.02.2014 01:57:30.619,6.03110,6.02850,0.08,0.11
10.02.2014 01:57:34.624,6.03110,6.02900,0.10,0.08
10.02.2014 01:57:44.636,6.03140,6.02940,0.08,0.10
10.02.2014 01:57:48.641,6.03140,6.02920,0.10,0.10
10.02.2014 01:57:52.646,6.03130,6.02880,0.06,0.08
10.02.2014 01:57:54.648,6.03200,6.02960,0.08,0.06
10.02.2014 01:58:00.656,6.03130,6.02950,0.06,0.08
10.02.2014 01:58:02.659,6.03130,6.02900,0.08,0.08
10.02.2014 01:58:04.561,6.03110,6.02890,0.11,0.06
10.02.2014 01:58:06.664,6.03110,6.02930,0.06,0.08
10.02.2014 01:58:10.569,6.03140,6.02880,0.06,0.06
10.02.2014 01:58:14.674,6.03120,6.02920,0.11,0.09
10.02.2014 01:58:34.600,6.03150,6.02850,0.10,0.08
10.02.2014 01:58:46.614,6.03130,6.02930,0.11,0.08
10.02.2014 01:59:04.636,6.03200,6.02880,0.11,0.06
10.02.2014 01:59:16.651,6.03130,6.02910,0.06,0.09
10.02.2014 01:59:26.662,6.03130,6.02930,0.09,0.11
10.02.2014 01:59:30.668,6.03160,6.02950,0.10,0.08
10.02.2014 01:59:32.670,6.03140,6.02930,0.06,0.06
10.02.2014 01:59:34.572,6.03130,6.02950,0.10,0.11
10.02.2014 01:59:36.674,6.03150,6.02930,0.06,0.11
10.02.2014 02:00:26.633,6.03140,6.02960,0.11,0.10
10.02.2014 02:00:30.638,6.03150,6.02940,0.10,0.08
10.02.2014 02:00:32.640,6.03140,6.02960,0.06,0.08
10.02.2014 02:01:06.682,6.03150,6.02950,0.10,0.10
10.02.2014 02:01:12.589,6.03150,6.02970,0.08,0.06
10.02.2014 02:01:22.601,6.03170,6.02970,0.06,0.09
10.02.2014 02:01:28.608,6.03180,6.02970,0.08,0.06
10.02.2014 02:01:30.711,6.03210,6.02990,0.09,0.10
10.02.2014 02:01:40.624,6.03230,6.02930,0.06,0.09
10.02.2014 02:01:42.626,6.03250,6.02950,0.10,0.06
10.02.2014 02:02:08.657,6.03180,6.02990,0.09,0.06
10.02.2014 02:02:18.670,6.03180,6.02970,0.11,0.09
10.02.2014 02:02:24.677,6.03170,6.02960,0.09,0.11
10.02.2014 02:02:36.592,6.03160,6.02970,0.08,0.09
10.02.2014 02:02:58.620,6.03180,6.02990,0.08,0.08
10.02.2014 02:03:02.624,6.03180,6.02950,0.08,0.09
10.02.2014 02:03:40.573,6.03200,6.02990,0.09,0.06
10.02.2014 02:04:16.616,6.03220,6.03020,0.11,0.09
10.02.2014 02:04:18.719,6.03200,6.02990,0.09,0.10
10.02.2014 02:04:48.655,6.03200,6.03020,0.08,0.09
10.02.2014 02:04:50.658,6.03200,6.03010,0.11,0.09
10.02.2014 02:04:54.663,6.03190,6.02980,0.08,0.10
10.02.2014 02:05:06.681,6.03200,6.03010,0.06,0.06
10.02.2014 02:05:08.683,6.03200,6.02980,0.11,0.10
10.02.2014 02:05:12.588,6.03210,6.02960,0.06,0.10
10.02.2014 02:05:16.594,6.03200,6.03000,0.09,0.10
10.02.2014 02:05:22.601,6.03200,6.03010,0.11,0.06
10.02.2014 02:05:32.614,6.03210,6.02980,0.06,0.08
10.02.2014 02:05:48.635,6.03200,6.02980,0.11,0.09
10.02.2014 02:06:02.650,6.03190,6.03000,0.08,0.06
10.02.2014 02:06:30.681,6.03200,6.03010,0.08,0.11
10.02.2014 02:06:38.692,6.03220,6.03020,0.06,0.06
10.02.2014 02:06:44.599,6.03230,6.03040,0.10,0.10
10.02.2014 02:06:52.609,6.03280,6.03020,0.09,0.06
10.02.2014 02:06:54.712,6.03240,6.03040,0.08,0.09
10.02.2014 02:06:56.614,6.03240,6.03050,0.06,0.09
10.02.2014 02:07:00.719,6.03260,6.03040,0.08,0.10
10.02.2014 02:07:06.626,6.03260,6.03060,0.06,0.06
10.02.2014 02:07:14.635,6.03250,6.03040,0.11,0.08
10.02.2014 02:07:16.638,6.03260,6.03030,0.08,0.08
10.02.2014 02:07:20.642,6.03260,6.03040,0.09,0.11
10.02.2014 02:07:24.547,6.03250,6.03030,0.11,0.11
10.02.2014 02:07:26.649,6.03260,6.03040,0.11,0.08
10.02.2014 02:07:30.654,6.03260,6.03030,0.11,0.09
10.02.2014 02:07:52.580,6.03250,6.03010,0.10,0.06
10.02.2014 02:08:00.690,6.03230,6.03040,0.08,0.10
10.02.2014 02:08:02.591,6.03250,6.03000,0.09,0.10
10.02.2014 02:08:14.606,6.03240,6.03020,0.09,0.06
10.02.2014 02:08:22.615,6.03220,6.03000,0.06,0.08
10.02.2014 02:09:02.665,6.03240,6.03030,0.09,0.06
10.02.2014 02:09:08.672,6.03230,6.03040,0.10,0.11
10.02.2014 02:10:00.635,6.03220,6.03020,0.11,0.06
10.02.2014 02:10:02.640,6.03240,6.03010,0.10,0.10
10.02.2014 02:10:14.652,6.03240,6.03030,0.09,0.09
10.02.2014 02:10:20.659,6.03230,6.03050,0.11,0.09
10.02.2014 02:10:24.663,6.03230,6.03010,0.11,0.08
10.02.2014 02:10:30.669,6.03220,6.03020,0.08,0.11
10.02.2014 02:10:44.684,6.03220,6.03040,0.09,0.06
10.02.2014 02:11:10.613,6.03280,6.02980,0.08,0.08
10.02.2014 02:13:08.654,6.03210,6.03020,0.09,0.08
10.02.2014 02:13:10.656,6.03220,6.03020,0.08,0.10
10.02.2014 02:13:16.563,6.03220,6.03010,0.11,0.10
10.02.2014 02:13:22.571,6.03220,6.03030,0.10,0.06
10.02.2014 02:20:02.672,6.03210,6.02980,0.08,0.10
10.02.2014 02:20:18.591,6.03200,6.03020,0.08,0.09
10.02.2014 02:20:30.706,6.03200,6.02980,0.09,0.10
10.02.2014 02:20:38.616,6.03200,6.03000,0.11,0.06
10.02.2014 02:20:40.618,6.03200,6.03020,0.08,0.10
10.02.2014 02:20:46.626,6.03200,6.03000,0.11,0.08
10.02.2014 02:20:58.640,6.03210,6.02990,0.11,0.11
10.02.2014 02:21:08.652,6.03190,6.03000,0.09,0.08
10.02.2014 02:21:18.665,6.03180,6.02980,0.06,0.08
10.02.2014 02:21:24.673,6.03190,6.03000,0.11,0.10
10.02.2014 02:23:16.600,6.03200,6.02990,0.08,0.09
10.02.2014 02:23:28.615,6.03180,6.03000,0.08,0.06
10.02.2014 02:23:38.627,6.03180,6.02990,0.10,0.08
10.02.2014 02:23:42.732,6.03200,6.02960,0.11,0.10
10.02.2014 02:23:44.634,6.03180,6.02960,0.11,0.09
10.02.2014 02:24:38.691,6.03180,6.02990,0.09,0.10
10.02.2014 02:24:44.697,6.03180,6.02950,0.11,0.10
10.02.2014 02:24:46.599,6.03180,6.02990,0.09,0.09
10.02.2014 02:25:24.641,6.03170,6.02960,0.11,0.09
10.02.2014 02:25:30.547,6.03140,6.02940,0.06,0.10
